Dune Bug - Swap Force,.99,2.99,34344,https://www.pricecharting.com/game/skylanders/dune-bug-swap-force,0 
Dune Bug - Swap Force Red,59.99,89.99,34722,https://www.pricecharting.com/game/skylanders/dune-bug-swap-force-red,0 
Echo - Trap Team,15.99,16.99,35898,https://www.pricecharting.com/game/skylanders/echo-trap-team,0 
Enchanted Elven Forest Adventure Pack - Imaginators,29.99,49.99,55865,https://www.pricecharting.com/game/skylanders/enchanted-elven-forest-adventure-pack-imaginators,0 
Enigma - Trap Team,8.99,9.99,35509,https://www.pricecharting.com/game/skylanders/enigma-trap-team,0 
Eruptor,4.99,10.99,33679,https://www.pricecharting.com/game/skylanders/eruptor,0 
Eruptor - Eon's Elite,9.99,15.99,35905,https://www.pricecharting.com/game/skylanders/eruptor-eon's-elite,0 
Eruptor - Giants Lightcore,1.99,6.99,33680,https://www.pricecharting.com/game/skylanders/eruptor-giants-lightcore,0 
Eruptor - Giants Series 2,.99,7.99,33681,https://www.pricecharting.com/game/skylanders/eruptor-giants-series-2,0 
Eruptor - Giants White Flocked Series 2,44.99,59.99,33804,https://www.pricecharting.com/game/skylanders/eruptor-giants-white-flocked-series-2,0 
Eruptor - Silver,79.99,199.99,33786,https://www.pricecharting.com/game/skylanders/eruptor-silver,0 
Eruptor - SuperChargers Lava Lance,.99,4.99,36342,https://www.pricecharting.com/game/skylanders/eruptor-superchargers-lava-lance,0 
Eruptor - Swap Force Lava Barf,.99,6.99,34345,https://www.pricecharting.com/game/skylanders/eruptor-swap-force-lava-barf,0 
Eruptor - Swap Force Lava Barf Volcanic,.99,2.99,34346,https://www.pricecharting.com/game/skylanders/eruptor-swap-force-lava-barf-volcanic,0 
Eye Brawl - Giants,3.99,6.99,33764,https://www.pricecharting.com/game/skylanders/eye-brawl-giants,0 
Eye Brawl - Giants Pumpkin,6.99,11.99,34138,https://www.pricecharting.com/game/skylanders/eye-brawl-giants-pumpkin,0 
Eye Brawl - Giants Purple Metallic,15.99,94.99,34254,https://www.pricecharting.com/game/skylanders/eye-brawl-giants-purple-metallic,0 
Eye Small - Sidekicks,2.99,7.99,34094,https://www.pricecharting.com/game/skylanders/eye-small-sidekicks,0 
Eye Small - Trap Team,3.99,7.99,35493,https://www.pricecharting.com/game/skylanders/eye-small-trap-team,0 
Fiesta - SuperChargers,4.99,5.99,36052,https://www.pricecharting.com/game/skylanders/fiesta-superchargers,0 
Fiesta - SuperChargers Frightful,2.99,3.99,36349,https://www.pricecharting.com/game/skylanders/fiesta-superchargers-frightful,0 
Fire Kraken - Swap Force,3.99,5.99,34347,https://www.pricecharting.com/game/skylanders/fire-kraken-swap-force,0 
Fire Kraken - Swap Force Gold,14.99,54.99,34631,https://www.pricecharting.com/game/skylanders/fire-kraken-swap-force-gold,0 
Fire Kraken - Swap Force Jade,2.99,4.99,34348,https://www.pricecharting.com/game/skylanders/fire-kraken-swap-force-jade,0 
Fist Bump - Trap Team,3.99,4.99,35519,https://www.pricecharting.com/game/skylanders/fist-bump-trap-team,0 
Flameslinger,2.99,10.99,33682,https://www.pricecharting.com/game/skylanders/flameslinger,0 
Flameslinger - Giants Gold Series 2,5.99,15.99,33683,https://www.pricecharting.com/game/skylanders/flameslinger-giants-gold-series-2,0 
Flameslinger - Giants Series 2,.99,5.99,33684,https://www.pricecharting.com/game/skylanders/flameslinger-giants-series-2,0 
Flameslinger - Gold,13.99,114.99,33685,https://www.pricecharting.com/game/skylanders/flameslinger-gold,0 
Flashwing - Giants,1.99,2.99,33686,https://www.pricecharting.com/game/skylanders/flashwing-giants,0 
Flashwing - Giants Jade,7.99,12.99,33881,https://www.pricecharting.com/game/skylanders/flashwing-giants-jade,0 
Flashwing - Swap Force Lightcore,2.99,6.99,34349,https://www.pricecharting.com/game/skylanders/flashwing-swap-force-lightcore,0 
Fling Kong - Trap Team,7.99,9.99,35892,https://www.pricecharting.com/game/skylanders/fling-kong-trap-team,0 
Flip Wreck - Trap Team,3.99,7.99,35891,https://www.pricecharting.com/game/skylanders/flip-wreck-trap-team,0 
Food Fight - Trap Team,2.99,2.99,35528,https://www.pricecharting.com/game/skylanders/food-fight-trap-team,1 
Food Fight - Trap Team Dark,1.99,12.99,35529,https://www.pricecharting.com/game/skylanders/food-fight-trap-team-dark,0 
Free Ranger - Swap Force,4.99,10.99,34350,https://www.pricecharting.com/game/skylanders/free-ranger-swap-force,0 
Free Ranger - Swap Force Legendary,2.99,13.99,34351,https://www.pricecharting.com/game/skylanders/free-ranger-swap-force-legendary,0 
Freeze Blade - Swap Force,3.99,3.99,34352,https://www.pricecharting.com/game/skylanders/freeze-blade-swap-force,0 
Freeze Blade - Swap Force Nitro,1.99,9.99,35902,https://www.pricecharting.com/game/skylanders/freeze-blade-swap-force-nitro,0 
Fright Rider - Giants,2.99,3.99,33687,https://www.pricecharting.com/game/skylanders/fright-rider-giants,0 
Fright Rider - Giants Glow in the Dark,8.99,24.99,33688,https://www.pricecharting.com/game/skylanders/fright-rider-giants-glow-in-the-dark,0 
Fright Rider - Giants Halloween,12.99,19.99,34353,https://www.pricecharting.com/game/skylanders/fright-rider-giants-halloween,0 
Fryno - Swap Force,1.99,7.99,34354,https://www.pricecharting.com/game/skylanders/fryno-swap-force,0 
Fryno - Trap Team Hog Wild,1.99,4.99,35522,https://www.pricecharting.com/game/skylanders/fryno-trap-team-hog-wild,0 
Funny Bone - Trap Team,2.99,4.99,35894,https://www.pricecharting.com/game/skylanders/funny-bone-trap-team,0 
Gearshift - Trap Team,7.99,15.99,35487,https://www.pricecharting.com/game/skylanders/gearshift-trap-team,0 
Ghost Roaster,5.99,12.99,33689,https://www.pricecharting.com/game/skylanders/ghost-roaster,0 
Ghost Swords,1.99,2.99,54402,https://www.pricecharting.com/game/skylanders/ghost-swords,0 
Gill Grunt,3.99,6.99,33690,https://www.pricecharting.com/game/skylanders/gill-grunt,1 
Gill Grunt - E3 2011,1.99,3.99,33884,https://www.pricecharting.com/game/skylanders/gill-grunt-e3-2011,0 
Gill Grunt - Eon's Elite,11.99,11.99,35911,https://www.pricecharting.com/game/skylanders/gill-grunt-eon's-elite,0 
Gill Grunt - Giants Green Metallic,2.99,2.99,34255,https://www.pricecharting.com/game/skylanders/gill-grunt-giants-green-metallic,0 
Gill Grunt - Giants Series 2,1.99,3.99,33691,https://www.pricecharting.com/game/skylanders/gill-grunt-giants-series-2,0 
Gill Grunt - Green,3.99,18.99,33692,https://www.pricecharting.com/game/skylanders/gill-grunt-green,0 
Gill Grunt - SuperChargers Deep Dive,.99,4.99,36059,https://www.pricecharting.com/game/skylanders/gill-grunt-superchargers-deep-dive,0 
Gill Grunt - Swap Force,1.99,4.99,34355,https://www.pricecharting.com/game/skylanders/gill-grunt-swap-force,0 
Gill Grunt - Trap Team Tidal Wave,.99,9.99,35524,https://www.pricecharting.com/game/skylanders/gill-grunt-trap-team-tidal-wave,0 
Gill Runt - Sidekicks,1.99,7.99,33774,https://www.pricecharting.com/game/skylanders/gill-runt-sidekicks,0 
Gill Runt - Trap Team,2.99,7.99,35488,https://www.pricecharting.com/game/skylanders/gill-runt-trap-team,0 
Grave Clobber - Imaginators,6.99,9.99,55857,https://www.pricecharting.com/game/skylanders/grave-clobber-imaginators,0 
Grilla Drilla - Swap Force,4.99,6.99,34356,https://www.pricecharting.com/game/skylanders/grilla-drilla-swap-force,0 
Grim Creeper - Swap Force,3.99,9.99,34357,https://www.pricecharting.com/game/skylanders/grim-creeper-swap-force,0 
Grim Creeper - Swap Force Legendary,1.99,8.99,34359,https://www.pricecharting.com/game/skylanders/grim-creeper-swap-force-legendary,0 
Grim Creeper - Swap Force Lightcore,1.99,7.99,34358,https://www.pricecharting.com/game/skylanders/grim-creeper-swap-force-lightcore,0 
Gusto - Trap Team,3.99,4.99,35490,https://www.pricecharting.com/game/skylanders/gusto-trap-team,0 
Hand of Fate - Trap Team Legendary,-.01,-.01,47043,https://www.pricecharting.com/game/skylanders/hand-of-fate-trap-team-legendary,0 
Head Rush - Trap Team,3.99,3.99,35491,https://www.pricecharting.com/game/skylanders/head-rush-trap-team,0 
Head Rush - Trap Team Nitro,1.99,5.99,35535,https://www.pricecharting.com/game/skylanders/head-rush-trap-team-nitro,0 
Hex,2.99,3.99,33693,https://www.pricecharting.com/game/skylanders/hex,0 
Hex - Giants Lightcore,.99,2.99,33695,https://www.pricecharting.com/game/skylanders/hex-giants-lightcore,0 
Hex - Giants Series 2,.99,3.99,33694,https://www.pricecharting.com/game/skylanders/hex-giants-series-2,0 
Hex - Pearl Toy Fair 2012,119.99,124.99,33779,https://www.pricecharting.com/game/skylanders/hex-pearl-toy-fair-2012,0 
Hidden Treasure,1.99,3.99,54401,https://www.pricecharting.com/game/skylanders/hidden-treasure,0 
High Five - Trap Team,7.99,7.99,35530,https://www.pricecharting.com/game/skylanders/high-five-trap-team,0 
High Volt - SuperChargers,2.99,2.99,36185,https://www.pricecharting.com/game/skylanders/high-volt-superchargers,0 
Hijinx - Trap Team,.99,3.99,35492,https://www.pricecharting.com/game/skylanders/hijinx-trap-team,0 
Hood Sickle - Imaginators,24.99,54.99,55859,https://www.pricecharting.com/game/skylanders/hood-sickle-imaginators,0 
Hoot Loop - Swap Force,3.99,5.99,34360,https://www.pricecharting.com/game/skylanders/hoot-loop-swap-force,0 
Hoot Loop - Swap Force Enchanted,2.99,7.99,34361,https://www.pricecharting.com/game/skylanders/hoot-loop-swap-force-enchanted,0 
Hot Dog - E3 2013 Bronze,19.99,24.99,34077,https://www.pricecharting.com/game/skylanders/hot-dog-e3-2013-bronze,0 
Hot Dog - Giants,4.99,8.99,33696,https://www.pricecharting.com/game/skylanders/hot-dog-giants,0 
Hot Dog - Giants Molten,4.99,13.99,33846,https://www.pricecharting.com/game/skylanders/hot-dog-giants-molten,0 
Hot Dog - Swap Force Fire Bone,7.99,29.99,34362,https://www.pricecharting.com/game/skylanders/hot-dog-swap-force-fire-bone,0 
Hot Head - Giants,3.99,9.99,33765,https://www.pricecharting.com/game/skylanders/hot-head-giants,0 
