Blaster Master Zero 3 Collector's Edition,ND,ND,ND,,2355967,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-3-collector's-edition 
Blaster Master Zero Trilogy: MetaFight Chronicle,ND,ND,ND,,2355974,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-trilogy-metafight-chronicle 
Blaster Master Zero Best Buy,ND,ND,ND,,2353024,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-best-buy 
Blaster Master Zero Classic Edition,59.99,69.99,89.99,,977337,https://www.pricecharting.com/game/nintendo-switch/blaster-master-zero-classic-edition 
BlazBlue Cross Tag Battle,19.99,24.99,34.99,811122030017,46951,https://www.pricecharting.com/game/nintendo-switch/blazblue-cross-tag-battle 
BlazBlue Cross Tag Battle Collector's Edition,44.99,54.99,59.99,,47039,https://www.pricecharting.com/game/nintendo-switch/blazblue-cross-tag-battle-collector's-edition 
Blaze and the Monster Machines: Axle City Racers,ND,ND,ND,819338021546,2594068,https://www.pricecharting.com/game/nintendo-switch/blaze-and-the-monster-machines-axle-city-racers 
Blazing Chrome,64.99,69.99,74.99,819976021984,65470,https://www.pricecharting.com/game/nintendo-switch/blazing-chrome 
Blazing Chrome Collector's Edition,94.99,104.99,144.99,,65473,https://www.pricecharting.com/game/nintendo-switch/blazing-chrome-collector's-edition 
Bloodrayne Betrayal: Fresh Bites,ND,ND,ND,,2934175,https://www.pricecharting.com/game/nintendo-switch/bloodrayne-betrayal-fresh-bites 
Bloodrayne Betrayal: Fresh Bites Collector's Edition,ND,ND,ND,,2934179,https://www.pricecharting.com/game/nintendo-switch/bloodrayne-betrayal-fresh-bites-collector's-edition 
Bloodstained: Curse Of The Moon 2 Best Buy Edition,ND,ND,ND,,2781126,https://www.pricecharting.com/game/nintendo-switch/bloodstained-curse-of-the-moon-2-best-buy-edition 
Bloodstained: Curse Of The Moon 2 Classic Edition,ND,ND,ND,819976025951,2390417,https://www.pricecharting.com/game/nintendo-switch/bloodstained-curse-of-the-moon-2-classic-edition 
Bloodstained: Curse of the Moon,79.99,104.99,119.99,819976021410,58337,https://www.pricecharting.com/game/nintendo-switch/bloodstained-curse-of-the-moon 
Bloodstained: Curse of the Moon 2,ND,ND,ND,819976025371,2201938,https://www.pricecharting.com/game/nintendo-switch/bloodstained-curse-of-the-moon-2 
Bloodstained: Curse of the Moon Classic Edition,199.99,224.99,304.99,,58573,https://www.pricecharting.com/game/nintendo-switch/bloodstained-curse-of-the-moon-classic-edition 
Bloodstained: Ritual Of The Night Kickstarter Edition,ND,ND,ND,,2284109,https://www.pricecharting.com/game/nintendo-switch/bloodstained-ritual-of-the-night-kickstarter-edition 
Bloodstained: Ritual of the Night,14.99,15.99,19.99,812872017174812872017181,59593,https://www.pricecharting.com/game/nintendo-switch/bloodstained-ritual-of-the-night 
Bloodstained: Ritual of the Night Signed Collector's Box,149.99,169.99,399.99,,68662,https://www.pricecharting.com/game/nintendo-switch/bloodstained-ritual-of-the-night-signed-collector's-box 
Blossom Tales: The Sleeping King,39.99,59.99,64.99,819976023513,70402,https://www.pricecharting.com/game/nintendo-switch/blossom-tales-the-sleeping-king 
Blue Fire,ND,ND,ND,812303015854,2073073,https://www.pricecharting.com/game/nintendo-switch/blue-fire 
Blue Reflection: Second Light,ND,ND,ND,040198003339,2740946,https://www.pricecharting.com/game/nintendo-switch/blue-reflection-second-light 
Blue Reflection: Second Light Limited Edition,ND,ND,ND,,2740947,https://www.pricecharting.com/game/nintendo-switch/blue-reflection-second-light-limited-edition 
Bomb Chicken,34.99,34.99,39.99,819976022455,59555,https://www.pricecharting.com/game/nintendo-switch/bomb-chicken 
Bomber Crew Complete Edition,19.99,24.99,29.99,819335020290,63276,https://www.pricecharting.com/game/nintendo-switch/bomber-crew-complete-edition 
Borderlands Legendary Collection,13.99,15.99,19.99,710425556487710425556494,72308,https://www.pricecharting.com/game/nintendo-switch/borderlands-legendary-collection 
Bravely Default II,29.99,29.99,29.99,045496596842045496596859,1384409,https://www.pricecharting.com/game/nintendo-switch/bravely-default-ii 
Brawlout,13.99,15.99,19.99,819335020160,47009,https://www.pricecharting.com/game/nintendo-switch/brawlout 
Breath of the Wild Wired Controller,ND,ND,ND,,2429514,https://www.pricecharting.com/game/nintendo-switch/breath-of-the-wild-wired-controller 
Brigandine: The Legend of Runersia,59.99,74.99,84.99,819976024145,71958,https://www.pricecharting.com/game/nintendo-switch/brigandine-the-legend-of-runersia 
Brigandine: The Legend of Runersia Collector's Edition,84.99,99.99,129.99,,141596,https://www.pricecharting.com/game/nintendo-switch/brigandine-the-legend-of-runersia-collector's-edition 
Broforce Special Reserve,ND,ND,ND,,2782820,https://www.pricecharting.com/game/nintendo-switch/broforce-special-reserve 
Broken Age,34.99,44.99,49.99,819976021472,55684,https://www.pricecharting.com/game/nintendo-switch/broken-age 
Broken Sword 5 The Serpent's Curse,19.99,19.99,29.99,816819016138,58442,https://www.pricecharting.com/game/nintendo-switch/broken-sword-5-the-serpent's-curse 
Bubble Bobble 4 Friends,29.99,34.99,54.99,850010758022,155213,https://www.pricecharting.com/game/nintendo-switch/bubble-bobble-4-friends 
Bubble Bobble 4 Friends: The Baron is Back,29.99,34.99,39.99,,643945,https://www.pricecharting.com/game/nintendo-switch/bubble-bobble-4-friends-the-baron-is-back 
Bubsy Paws On Fire Limited Run,19.99,19.99,39.99,695771501131,67669,https://www.pricecharting.com/game/nintendo-switch/bubsy-paws-on-fire-limited-run 
Bubsy Paws on Fire,15.99,29.99,39.99,695771500042,63992,https://www.pricecharting.com/game/nintendo-switch/bubsy-paws-on-fire 
Bubsy Paws on Fire Limited Edition,24.99,29.99,34.99,695771500097,63993,https://www.pricecharting.com/game/nintendo-switch/bubsy-paws-on-fire-limited-edition 
